A0ADemolishStructure	_("Demolish Structure")
A-HvyMantisHeat-Pepperpot-Track	"HvyMantisHeat Pepperpot Track"
A-HvyMantisHeat-Trk-Lancer	"Lancer HvyMantisHeat Tracks"
A-HvyMantisHeat-Trk-Pulse	"Pulse Laser HvyMantisHeat Tracks"
A-HvyMantisHeat-Trk-Rail	"Rail Gun HvyMantisHeat Tracks"
A-HvyMantis-Pepperpot-Track	"HvyMantis Pepperpot Track"
A-HvyMantis-Trk-Lancer	"Lancer HvyMantis Tracks"
A-HvyMantis-Trk-Pulse	"Pulse Laser HvyMantis Tracks"
A-HvyMantis-Trk-Rail	"Rail Gun HvyMantis Tracks"
A-HvyPython-Trk-Lancer	"Lancer HvyPython Tracks"
AirTrafficControl	"*AirTrafficControl*"
A-Mantis-Heat-Pepperpot-Track	"Thermal Mantis Pepperpot Track"
A-Mantis-Heat-Trk-Lancer	"Lancer Thermal Mantis Tracks"
A-Mantis-Heat-Trk-Pulse	"Pulse Laser Thermal Mantis Tracks"
A-Mantis-Heat-Trk-Rail	"Rail Gun Thermal Mantis Tracks"
A-Mantis-Pepperpot-Track	"Mantis Pepperpot Track"
A-Mantis-Trk-Lancer	_("Lancer Mantis Tracks")
A-Mantis-Trk-Pulse	_("Pulse Laser Mantis Tracks")
A-Mantis-Trk-Rail	_("Rail Gun Mantis Tracks")
A-Python-HalfTrk-Lancer	"Lancer Python Half-tracks"
A-Python-Hover-HC	_("Heavy Cannon Python Hover")
A-Python-Hover-MC	_("Medium Cannon Python Hover")
A-Python-Trk-HC	_("Heavy Cannon Python Tracks")
A-Python-Trk-Lancer	_("Lancer Python Tracks")
A-Rep-Cobra-Trk	_("Repair Turret Cobra Tracks")
A-Rep-HCobra-Trk	"Repair Turret HCobra Tracks"
A-Rep-Mantis-Heat-Trk	"Repair Turret Thermal Mantis Tracks"
A-Rep-Mantis-Trk	_("Repair Turret Mantis Tracks")
A-Retrib-Trk-Needle	_("Needle Gun Retribution Tracks")
arizonabush1	"*ArizonaBush1*"
arizonabush2	"*ArizonaBush2*"
arizonabush3	"*ArizonaBush3*"
arizonabush4	"*ArizonaBush4*"
arizonatree1	"*ArizonaTree1*"
arizonatree2	"*ArizonaTree2*"
arizonatree3	"*ArizonaTree3*"
arizonatree4	"*ArizonaTree4*"
arizonatree5	"*ArizonaTree5*"
arizonatree6	"*ArizonaTree6*"
A-Scorp-Heat-Hover-MC	"Medium Cannon Thermal Scorpion Hover"
A-Scorp-Heat-Trk-MC	"Medium Cannon Thermal Scorpion Tracks"
A-Scorp-Hover-MC	_("Medium Cannon Scorpion Hover")
A-Scorp-Trk-MC	_("Medium Cannon Scorpion Tracks")
ASPOTTER	"*SPOTTER*"
ATESTVEHICLE	"*TEST VEHICLE*"
ATESTVTOL	"*TEST VTOL*"
A-Tiger-Trk-HC	_("Heavy Cannon Tiger Tracks")
A-Tiger-Trk-Needle	_("Needle Gun Tiger Tracks")
A-Tiger-Trk-TwinAssaultGun	"Twin Assault Gun Tiger Tracks"
AutoRepair	"Auto Repair"
A-Veng-Trk-Guass	_("Vengeance Tracks Gauss Cannon")
A-Veng-Trk-HeavyLaser	"Heavy Laser Vengeance Tracks"
A-Veng-Trk-Needle	_("Needle Gun Vengeance Tracks")
A-Veng-Trk-Rail	_("Vengeance Tracks Rail Gun")
A-Veng-Trk-Scourge	_("Vengeance Tracks Gauss Scourge")
A-Veng-Trk-Stormbringer	"Stormbringer Vengeance Tracks"
A-Veng-Trk-TK	_("Tank Killer Vengeance Tracks")
A-Viper-Trk-HMG	_("Heavy Machinegun Viper Tracks")
A-Viper-Trk-MG	_("Machinegun Viper Tracks")
A-Viper-Trk-TMG	_("Twin Machinegun Viper Tracks")
A-Viper-Wheels-HMG	_("Heavy Machinegun Viper Wheels")
A-Viper-Wheels-MG	_("Machinegun Viper Wheels")
A-Viper-Wheels-TMG	_("Twin Machinegun Viper Wheels")
AVTOLSPOTTER	"*VTOL SPOTTER*"
B1BaBaPerson01	"*BaBa Body*"
B1BaBaPerson02	"B1BaBaPerson02"
B2crane1	"crane2"
B2crane2	"crane1"
B2JeepBody	"*Jeep Body*"
B2JeepBody-AR	"Baba Jeep Body AR"
B2JeepBody-BJeepMG	"B2JeepBody-BJeepMG"
B2RKJeepBody	"*Rocket Jeep Body*"
B2RKJeepBody-AR	"Baba Jeep Body AR"
B2RKJeepBody-BabaRocket	"B2RKJeepBody-BabaRocket"
B2tractor	"tractor"
B2tractor-BabaFlame	"B2tractor-BabaFlame"
B3bodyRKbuggy01	"*Rocket Buggy Body*"
B3bodyRKbuggy01-AR	"Rocket Buggy Body AR"
B3bodyRKbuggy01-BabaRocket	"B3bodyRKbuggy01-BabaRocket"
B3body-sml-buggy01	"*Buggy Body*"
B3body-sml-buggy01-AR	"Buggy Body AR"
B3body-sml-buggy01-BuggyMG	"B3body-sml-buggy01-BuggyMG"
B4body-sml-trike01	"*Trike Body*"
B4body-sml-trike01-AR	"Trike Body AR"
B4body-sml-trike01-bTrikeMG	"B4body-sml-trike01-bTrikeMG"
BabaBusCan	_("School Bus")
BabaBusCan-AR	"School Bus-AR"
BaBaCannon	"*BaBa Cannon*"
BaBaCivilian	_("Civilian")
BabaCornerWall	"*Babacrnwall*"
BabaFireCan	_("Cannon Fire Truck")
BabaFireTruck	_("Fire Truck")
BabaFlame	"*Flamer*"
BaBaHorizontalWall	"*Babahrzwall*"
BabaJeep	_("Jeep")
BabaJeep-AR	"Jeep-AR"
BaBaLegs	"BaBaLegs"
BaBaMG	"*BaBa MG*"
BaBaPeople	_("Scavenger")
BabaPickUp	_("Pick-Up Truck")
BabaPitRocket	"*Baba Rocket Pit Launcher*"
BabaPitRocketAT	"*AT Rocket Pit*"
BaBaProp	"BaBaProp"
BabaRKJeep	_("Rocket Jeep")
BabaRKJeep-AR	"Rocket Jeep-AR"
BabaRocket	"*BabaRocket*"
BaBaSensor	"*BaBa Default Sensor*"
BarbarianBuggy	_("Buggy")
BarbarianBuggy-AR	"Buggy-AR"
BarbarianRKBuggy	_("Rocket Buggy")
BarbarianRKBuggy-AR	"Rocket Buggy-AR"
BarbarianTrike	_("Trike")
BarbarianTrike-AR	"Trike-AR"
BarbHUT	_("Hut")
BarbTechRuin	_("Ruined Factory")
BarbWarehouse1	_("Warehouse")
BarbWarehouse2	"*Warehouse2*"
BarbWarehouse3	"*Warehouse3*"
barrier	"*Barrier*"
bbaatow	"Scavenger MG tower"
bigcooltowr	 "*LargeCoolingTower*"
BJeepMG	"*Jeep MG*"
BlueCar	"*Blue Car*"
Body10MBT	_("Vengeance")
Body111ABT	"NASDA Python"
Body11ABT	_("Python")
Body11REC	"NASDA Viper"
Body121SUP	"NASDA Mantis"
Body12SUP	_("Mantis")
Body13SUP	_("Wyvern")
Body14SUP	_("Dragon")
Body15LGT	"Leopard Superior Alloys"
Body16MED	"Panther Superior Alloys"
Body17LGT	"Bug Thermal Alloys"
Body18MED	"Scorpion Thermal Alloys"
Body19HVY	"Mantis Thermal Alloys"
Body1REC	_("Viper")
Body20LGT	"Viper Hardened Alloys"
Body211SUP	"NASDA Leopard"
Body21MED	"Cobra Hardened Alloys"
Body22HVY	"Python Hardened Alloys"
Body23SUP	"Super Heavy Python"
Body24SUP	"Super Heavy Mantis"
Body25SUP	"Super Heavy Leopard"
Body26SUP	"Super Heavy Thermal Mantis"
Body27SUP	"Super Heavy Hardened Python"
Body28SUP	"Super Heavy Retribution"
Body2SUP	_("Leopard")
Body3MBT	_("Retaliation")
Body45ABT	"NASDA Bug"
Body4ABT	_("Bug")
Body51REC	"NASDA Cobra"
Body5REC	_("Cobra")
Body61SUPP	"NASDA Panther"
Body6SUPP	_("Panther")
Body7ABT	_("Retribution")
Body88MBT	"NASDA Scorpion"
Body8MBT	_("Scorpion")
Body91REC	"NASDA Tiger"
Body9REC	_("Tiger")
Bomb1-VTOL-LtHE	_("VTOL Cluster Bomb Bay")
Bomb2-VTOL-HvHE	_("VTOL Heap Bomb Bay")
Bomb3-VTOL-LtINC	_("VTOL Phosphor Bomb Bay")
Bomb4-VTOL-HvyINC	_("VTOL Thermite Bomb Bay")
Bomb5-VTOL-Plasmite	_("VTOL Plasmite Bomb Bay")
Bomb6-VTOL-EMP	_("VTOL EMP Missile Launcher")
Boulder1	"*Boulder 1*"
Boulder2	"*Boulder 2*"
Boulder3	"*Boulder 3*"
bridge	_("Bridge")
bridge1	"*Bridge 1*"
bridge5	"*Bridge 5*"
bridgeend	 "*BridgeEnd*"
bridgefull	 "*FullBridge*"
bridgemiddle	"*BridgeMiddle*"
BTowerMG	"*Tower MG*"
bTrikeMG	"*Trike MG*"
BuggyMG	"*Buggy MG*"
Bug-HalfTrack-HeavyMG	"Heavy MG Bug Half-Track"
Bug-HalfTrack-LightCannon	"Light Cannon Bug Half-Track"
Bug-HalfTracks-MiniRocket	"Mini-Rocket Bug Half-tracks"
Bug-Heat-HalfTrack-HeavyMG	"Heavy MG Thermal Bug Half-Track"
Bug-Heat-HalfTrack-LightCannon	"Light Cannon Thermal Bug Half-Track"
Bug-Heat-HalfTracks-MiniRocket	"Mini-Rocket Thermal Bug Half-tracks"
Bug-Heat-Helicopter-HvyMG	"Thermal Bug Helicopter HMG"
Bug-Heat-Wheel-HeavyMG	"Heavy MG Thermal Bug Wheels"
Bug-Heat-Wheel-LightCannon	"Light Cannon Thermal Bug Wheels"
Bug-Heat-Wheel-MiniRocket	"Mini-Rocket Thermal Bug Wheels"
Bug-Helicopter-HvyMG	"Bug Helicopter HMG"
Bug-Wheel-HeavyMG	"Heavy MG Bug Wheels"
Bug-Wheel-LightCannon	"Light Cannon Bug Wheels"
Bug-Wheel-MiniRocket	"Mini-Rocket Bug Wheels"
building1	"*Building 1*"
building10	"*Building 10*"
building11	"*Building 11*"
building12	"*Building 12*"
building2	"*Building 2*"
building3	"*Building 3*"
building4	"*Building 4*"
building5	"*Building 5*"
building6	"*Building 6*"
building7	"*Building 7*"
building8	"*Building 8*"
Bunker3-HeavyLaser-Gat	"Heavy Rotary Laser Emplacement"
Bunker3-Laser2PULSEMk1-Inc	"Incendiary Pulse Laser Bunker"
Bunker3-RailGun2Mk1-Twn-Inc	"Twin Rail Emplacement"
Bunker3-Railgun-Hvy	"Heavy Railgun Emplacement"
Bunker4-PlasmiteFlamer-Rail	"Heavy Plasmite Rail Bunker"
Bunker-MG3Mk1-Twn	"Twin Heavy Machinegun Bunker"
BusBody	"*School Bus Body*"
BusBody-AR	"School Bus Body AR"
BusBody-BabaPitRocketAT	"BusBody-BabaPitRocketAT"
BusBody-BabaPitRocketAT-AR	"BusBody-BabaPitRocketAT-AR"
BusBody-BusCannon	"BusBody-BusCannon"
BusCannon	"*BusCannon*"
CAM1DEFENSES	_("CAM1 DEFENSES")
CAM1RESEARCH	_("CAM1 RESEARCH")
CAM1STRUCTURES	_("CAM1 STRUCTURES")
CAM1SYSTEMS	_("CAM1 SYSTEMS")
CAM1VEHICLES	_("CAM1 VEHICLES")
CAM1WEAPONS	_("CAM1 WEAPONS")
CAM2CYBORGS	_("CAM2 CYBORGS")
CAM2DEFENSES	_("CAM2 DEFENSES")
CAM2RESEARCH	_("CAM2 RESEARCH")
CAM2STRUCTURES	_("CAM2 STRUCTURES")
CAM2SYSTEMS	_("CAM2 SYSTEMS")
CAM2VEHICLES	_("CAM2 VEHICLES")
CAM2WEAPONS	_("CAM2 WEAPONS")
CAM3RESEARCH	_("CAM3 RESEARCH")
Cannon1Mk1	_("Light Cannon")
Cannon1-VTOL	_("VTOL Cannon")
Cannon2A-TMk1	_("Medium Cannon")
Cannon375mmMk1	_("Heavy Cannon")
Cannon4AUTOMk1	_("Hyper Velocity Cannon")
Cannon4AUTO-VTOL	_("VTOL Hyper Velocity Cannon")
Cannon5VulcanMk1	_("Assault Cannon")
Cannon5Vulcan-VTOL	_("VTOL Assault Cannon")
Cannon6TwinAslt	_("Twin Assault Cannon")
CannonSuper	_("Cannon Fortress")
CCSensor	"*CC Sensor*"
Chevy	"*Chevy*"
CO-AASite-SAM1	"*CO-AASite-SAM1*"
CobraBBTracks	_("Bunker Buster Cobra Tracks")
CobraComHalftrack	_("Command Turret Cobra Half-tracks")
CobraFlameHalfTracks	"Flamer Cobra Half-Tracks"
CobraFlameHover	"Flamer Cobra Hover"
CobraFlameTracks	_("Flamer Cobra Tracks")
Cobra-Helicopter-HvyMG	"Cobra Helicopter HMG"
Cobra-Helicopter-LightCannon	"Cobra Helicopter Light Cannon"
Cobra-Helicopter-MRL	"Cobra Helicopter Mini Rocket Array"
Cobra-Helicopter-Phosphor	"Cobra Helicopter Phosphor"
Cobra-Helicopter-RocketPod	"Cobra Helicopter Mini-Rocket"
Cobra-Helicopter-Thermite	"Cobra Helicopter Thermite"
CobraHMGHalfTrack	_("Heavy Machinegun Cobra Half-tracks")
CobraHMGTracks	_("Heavy Machinegun Cobra Tracks")
Cobra-Hover-HC	_("Heavy Cannon Cobra Hover")
CobraHoverTruck	_("Truck Cobra Hover")
CobraHRepairHalfTrack	"Heavy Repair Cobra HalfTrack"
CobraHRepairHover	_("Heavy Repair Turret Cobra Hover")
CobraHvyCnTrks	_("Heavy Cannon Cobra Tracks")
CobraHvyMortarHalftrack	_("Bombard Cobra Half-tracks")
CobraHvyMortarTrack	"Bombard Cobra Tracks"
CobraInfernoHover	_("Inferno Cobra Hover")
CobraInfernoHTracks	_("Inferno Cobra Half-Tracks")
CobraLtA-Thalftrack	_("Lancer Cobra Half-tracks")
CobraLtCnTrks	_("Light Cannon Cobra Tracks")
CobraMedCnHTrks	_("Medium Cannon Cobra Half Track")
CobraMedCnTrks	_("Medium Cannon Cobra Tracks")
CobraMortarHalfTrack	_("Mortar Cobra Half-tracks")
CobraMRLHalftrack	_("Mini-Rocket Array Cobra Half-tracks")
CobraMRLTracks	_("Mini-Rocket Array Cobra Tracks")
CobraPODHTracks	_("Mini-Rocket Cobra Half-Tracks")
CobraPODTracks	_("Mini-Rocket Cobra Tracks")
CobraSensorHalftrack	_("Sensor Turret Cobra Half-tracks")
CobraSpadeTracks	_("Cobra Truck")
Cobra-Trk-Com	_("Command Turret Cobra Tracks")
CobraTrkLancer	_("Lancer Cobra Tracks")
Cobra-VTOL-Cluster	"Cobra VTOL Cluster"
Cobra-VTOL-Phosphor	"Cobra VTOL Phosphor"
CO-Emp-How105-Pit	"*CO-Emp-How105-Pit*"
CO-Emp-Mortar2-Pit	"*CO-Emp-Mortar2-Pit*"
CO-Emp-RotMortar-Pit	"*CO-Emp-RotMortar-Pit*"
CO-H-AA2-HalfTrack	"*CO-H-AA2-HalfTrack*"
CO-H-COM-H	"*CO-H-COM-H*"
CO-H-Command-Track	"*CO-H-Command-Track*"
CO-H-How105-Tracks	"*CO-H-How105-Tracks*"
CO-H-How150-Tracks	"*CO-H-How150-Tracks*"
CO-H-HPVCannon-Tracks	"*CO-H-HPVCannon-Tracks*"
CO-H-HvyCan-Tracks	"*CO-H-HvyCan-Tracks*"
CO-H-QuadBofAA-T	"*CO-H-QuadBofAA-T*"
CO-H-QuadRotAA-Halftrack	"*CO-H-QuadRotAA-Halftrack*"
CO-H-QuadRotAA-T	"*CO-H-QuadRotAA-T*"
CO-H-Rkt-BB-T	"*CO-H-Rkt-BB-T*"
CO-H-Rocket-BB-Halftrack	"*CO-H-BB-Halftrack*"
CO-H-RotCan-Track	"*CO-H-RotCan-Track*"
CO-H-RotHow-Track	"*CO-H-RotHow-Track*"
CO-L-Bomb1-VTOL	"*CO-L-Bomb1-VTOL*"
CO-L-HMG-Wheels	"*CO-L-HMG-Wheels*"
CollectiveCWall	_("Collective Corner Wall")
CollectiveWall	_("Collective Wall")
CO-L-MG2-VTOL	"*CO-L-MG2-VTOL*"
CO-L-POD-Wheels	"*CO-L-POD-Wheels*"
CO-L-Rocket-BB-Hover	"*CO-L-Rocket-BB-Hover*"
CO-L-Rocket-LtA-T-Hover	"*CO-L-Rocket-LtA-T-Hover*"
CO-L-Rocket-LtA-T-VTOL	"*CO-L-LtATRkt-VTOL*"
CO-L-Rocket-VTOL-Pod-VTOL	"*CO-L-POD-VTOL*"
CO-L-RotMG-HalfTrack	"*CO-L-RotMG-HalfTrack*"
CO-L-RotMg-Hover	"*CO-L-RotMg-Hover*"
CO-L-RotMG-VTOL	"*CO-L-RotMG-VTOL*"
CO-L-RotMG-Wheels	"*CO-S-RotMG-Wheels*"
CO-M-AA1-HalfTrack	"*CO-M-AA1-HalfTrack*"
CO-M-Bomb1-VTOL	"*CO-M-Bomb1-VTOL*"
CO-M-Bomb2-VTOL	"*CO-M-Bomb2-VTOL*"
CO-M-CBS-Halftrack	"*CO-M-CBS-Halftrack*"
CO-M-CBS-T	"*CO-M-CBS-T*"
CO-M-Command-Track	"*CO-M-Command-Track*"
CO-M-Con-Htrack	"*CO-M-Con-Htrack*"
CO-M-Con-T	"*CO-M-Con-T*"
CO-M-HMG-T	"*CO-M-HMG-T*"
CO-M-HPVCannon-Tracks	"*CO-M-HPVCannon-Tracks*"
CO-M-HVAT-Hover	"*CCO-M-HVAT-Hover*"
CO-M-HVAT-V	"*CO-M-HVAT-V*"
CO-M-HvFlame-Track 	"*CO-M-HvFlame-Track*"
CO-M-HvMortar-Halftrack	"*CO-M-HvMortar-Halftrack*"
CO-M-HvMortar-T	"*CO-M-HvMortar-T*"
CO-M-LTAT-Hover	"*CCO-M-LTAT-Hover*"
CommandBrain01	_("Command Turret")
CommandTurret1	_("Command Turret")
CommandTurret2	_("Command Turret II")
CommandTurret3	_("Command Turret III")
CommandTurret4	_("Command Turret IV")
CO-M-MedCan-Tracks	"*CO-M-MedCan-Tracks*"
CO-M-Mortar1-Halftrack	"*CO-M-Mortar1-Halftrack*"
CO-M-MRL-Halftrack	"*CO-M-MRL-Halftrack*"
CO-M-QuadMG1AA-Halftrack	"*CO-M-QuadMG1AA-Halftrack*"
CO-M-Repair-HalfTrack	"*CO-M-Repair-HalfTrack*"
CO-M-Repair-T	"*CO-M-Repair-T*"
CO-M-Rocket-BB-Halftrack	"*CO-M-Rocket-BB-Halftrack*"
CO-M-Rocket-BB-T	"*CO-M-Rocket-BB-T*"
CO-M-Rocket-HvyA-T-Track	"*CO-M-Rocket-HvyA-T-Track*"
CO-M-Rocket-LtA-T-Halftrack	"*CO-M-Rocket-LtA-T-Halftrack*"
CO-M-Rocket-LtA-T-T	"*CO-M-Rocket-LtA-T-T*"
CO-M-ROTMG-T	"*CO-M-ROTMG-T*"
CO-M-RotMortar-Halftrack	"*CO-M-RotMortar-Halftrack*"
CO-M-RotMortar-T	"*CO-M-RotMortar-T*"
CO-M-RR-HT	"*CO-M-RR-HT*"
CO-M-Sensor-Half-Track	"*CO-M-Sensor-Half-Track*"
CO-M-Sensor-T	"*CO-M-Sensor-T*"
CO-M-Vstrike-Halftrack	"*CO-M-Vstrike-Halftrack*"
CO-M-Vstrike-T	"*CO-M-Vstrike-T*"
CO-M-VTOLCBS-Halftrack	"*CO-M-VTOLCBS-Halftrack*"
CO-M-VTOLCBS-T	"*CO-M-VTOLCBS-T*"
Construct	"*TEST - Construct*"
ConstructionBrain	"*TEST - ConstructionBrain*"
ConstructionDroid	_("Truck")
ConstructionDroidNP	"*NP - Scorpion Constructor*"
ConstructorDroid	_("Truck")
CoolingTower	"*CoolingTower*"
CO-Tower-HvATRkt	"*CO-Tower-HvATRkt*"
CO-Tower-HVCan	"*CO-Tower-HVCan*"
CO-Tower-HvFlame	"*CO-Tower-HvFlame*"
CO-Tower-LtATRkt	"*CO-Tower-LtATRkt*"
CO-Tower-MdCan	"*CO-Tower-MdCan*"
CO-Tower-MG3	"*CO-Tower-MG3*"
CO-Tower-RotMG	"*CO-Tower-RotMG*"
CO-WallTower-HvCan	"*CO-WallTower-HvCan*"
CO-WallTower-RotCan	"*CO-WallTower-RotCan*"
Crane	"*Crane*"
Crane1	"Crane1"
Crane2	"Crane2"
Crane3	"Crane3"
Crane4	"Crane4"
Crate	_("Artifact")
Cyb-Atmiss-GROUND	_("Scourge")
Cyb-BB-Rkt-GROUND	_("Bunker Blaster")
Cyb-Bod-Atmiss	"*Cyb-Bod-Atmiss*"
Cyb-Bod-BB-Rkt	"*Cyb-Bod-BB-Rkt*"
Cyb-Bod-ComEng	"*Combat Engineer*"
Cyb-Bod-Grenade	"*Grenadier Body*"
Cyb-Bod-Las1	"*Cyb-Bod-Las1*"
Cyb-Bod-Mechanic	"*Cyborg Mechanic*"
Cyb-Bod-Rail1	"*Cyb-Bod-Rail1*"
Cyb-Bod-Thermite	"*Thermite Body*"
Cyb-Cannon-GROUND	_("Heavy Gunner")
Cyb-Chain-GROUND	_("Machinegunner")
Cyb-ComEng	_("Combat Engineer")
Cyb-CybChnGun-JUMP	"*Cyb-CybChnGun-JUMP*"
CybFlamer01CGrd	"*Cyborg Flamer*"
Cyb-Flamer-GROUND	_("Cyborg Flamer")
Cyb-Gren	_("Grenadier")
Cyb-Hvy-Acannon	_("Super Auto-Cannon Cyborg")
Cyb-Hvy-A-T	_("Super Scourge Cyborg")
Cyb-Hvybod-Acannon	_("Super Auto-Cannon Cyborg")
Cyb-Hvybod-A-T	_("Super Scourge Cyborg")
Cyb-Hvybod-HPV	_("Super HPV Cyborg")
Cyb-Hvybod-Mcannon	_("Super Heavy-Gunner")
Cyb-Hvybod-PulseLsr	_("Super Pulse Laser Cyborg")
Cyb-Hvybod-RailGunner	_("Super Rail-Gunner")
Cyb-Hvybod-TK	_("Super Tank-Killer Cyborg")
Cyb-Hvy-HPV	_("Super HPV Cyborg")
Cyb-Hvy-IncMortar	"Super Incendiary Grenadier"
Cyb-Hvy-Mcannon	_("Super Heavy-Gunner")
Cyb-Hvy-PulseLsr	_("Super Pulse Laser Cyborg")
Cyb-Hvy-RailGunner	_("Super Rail-Gunner")
Cyb-Hvy-TK	_("Super Tank-Killer Cyborg")
Cyb-Hvywpn-Acannon	_("Super Auto-Cannon Cyborg")
Cyb-Hvywpn-A-T	_("Super Scourge Cyborg")
Cyb-Hvywpn-EMP	"Cyb-Hvywpn-EMP"
Cyb-Hvywpn-Flamer2	"Cyb-Hvywpn-Flamer2"
Cyb-Hvywpn-Flamer3	"Cyb-Hvywpn-Flamer3"
Cyb-Hvywpn-HPV	_("Super HPV Cyborg")
Cyb-Hvywpn-Mcannon	_("Super Heavy-Gunner")
Cyb-Hvywpn-MG3	"Cyb-Hvywpn-MG3"
Cyb-Hvywpn-MG4	"Cyb-Hvywpn-MG4"
Cyb-Hvywpn-Missile-MdArt	"Cyb-Hvywpn-Missile-MdArt"
